date,value
01-20,1
01-24,1
01-26,2
01-27,3
01-30,4
01-31,6
02-01,11
02-02,12
02-04,15
02-05,16
02-06,19
02-07,23
02-09,24
02-10,27
02-11,27
02-12,28
02-15,28
02-16,28
02-17,29
02-18,30
02-19,31
02-20,51
02-21,104
02-22,204
02-23,433
02-24,602
02-25,833
02-26,977
02-27,1261
02-28,1766
02-29,2337
03-01,3150
03-02,4212
03-03,4812
03-04,5328
03-05,5766
03-06,6284
03-07,6767
03-08,7134
03-09,7382
03-10,7513
03-11,7755
03-12,7869
03-13,7979
03-14,8086
03-15,8162
03-16,8236
03-17,8320
03-18,8413
03-19,8565
03-20,8652
03-21,8799
03-22,8897
03-23,8961
03-24,9037
03-25,9137
03-26,9241
03-27,9332
03-28,9478
03-29,9583
03-30,9661
03-31,9786
04-01,9887
04-02,9976
04-03,10062
04-04,10156
04-05,10237
04-06,10284
04-07,10331
04-08,10384
04-09,10423
04-10,10450
04-11,10480
04-12,10512
04-13,10537
04-14,10564
04-15,10591
04-16,10613
04-17,10635
04-18,10653
04-19,10661
04-20,10674
04-21,10683
04-22,10694
04-23,10702
04-24,10708
04-25,10718
04-26,10728
04-27,10738
04-28,10752
04-29,10761
04-30,10765
05-01,10774
05-02,10780
05-03,10793
05-04,10801
05-05,10804
05-06,10806
05-07,10810
05-08,10822
05-09,10840
05-10,10874
05-11,10909
05-12,10936
05-13,10962
05-14,10991
05-15,11018
05-16,11037
05-17,11050
05-18,11065
05-19,11078
05-20,11110
05-21,11122
05-22,11142
05-23,11165
05-24,11190
05-25,11206
05-26,11225
05-27,11265
05-28,11344
05-29,11402
05-30,11441
05-31,11468
06-01,11503
06-02,11541
06-03,11590
06-04,11629
06-05,11668
06-06,11719
06-07,11776
06-08,11814
06-09,11852
06-10,11902
06-11,11947
06-12,12002
06-13,12051
06-14,12084
06-15,12121
06-16,12155
06-17,12198
06-18,12257
06-19,12306
06-20,12373
06-21,12421
06-22,12438
06-23,12484
06-24,12535
06-25,12563
06-26,12602
06-27,12653
06-28,12715
06-29,12757
06-30,12799
07-01,12850
07-02,12904
07-03,12967
07-04,13030
07-05,13089
07-06,13137
07-07,13181
07-08,13243
07-09,13293
07-10,13338
07-11,13373
07-12,13417
07-13,13479
07-14,13512
07-15,13551
07-16,13612
07-17,13672
07-18,13711
07-19,13745
07-20,13771
07-21,13816
07-22,13879
07-23,13938
07-24,13979
07-25,14092
07-26,14150
07-27,14175
07-28,14203
07-29,14251
07-30,14269
07-31,14305
08-01,14336
08-02,14366
08-03,14389
08-04,14423
08-05,14456
08-06,14499
08-07,14519
08-08,14562
08-09,14598
08-10,14626
08-11,14660
08-12,14714
08-13,14770
08-14,14873
08-15,15039
08-16,15318
08-17,15515
08-18,15761
08-19,16058
08-20,16346
08-21,16670
08-22,17002
08-23,17399
08-24,17665
08-25,17945
08-26,18265
08-27,18706
08-28,19077
08-29,19400
08-30,19699
08-31,19947
09-01,20182
09-02,20449
09-03,20644
09-04,20842
09-05,21010
09-06,21177
09-07,21296
09-08,21432
09-09,21588
09-10,21743
09-11,21919
09-12,22055
09-13,22176
09-14,22285
09-15,22391
09-16,22504
09-17,22657
09-18,22783
09-19,22893
09-20,22975
09-21,23045
09-22,23106
09-23,23216
09-24,23341
09-25,23455
09-26,23516
09-27,23611
09-28,23661
09-29,23699
09-30,23812
10-01,23889
10-02,23952
10-03,24027
10-04,24091
10-05,24164
10-06,24239
10-07,24353
10-08,24422
10-09,24476
10-10,24548
10-11,24605
10-12,24703
10-13,24805
10-14,24878
10-15,24988
10-16,25035
10-17,25108
10-18,25199
10-19,25275
10-20,25333
10-21,25422
10-22,25543
10-23,25698
10-24,25775
10-25,25836
10-26,25955
10-27,26043
10-28,26146
10-29,26271
10-30,26384
10-31,26511
11-01,26635
11-02,26732
11-03,26807
11-04,26925
11-05,27050
11-06,27195
11-07,27284
11-08,27427
11-09,27553
11-10,27653
11-11,27799
11-12,27942
11-13,28133
11-14,28338
11-15,28546
11-16,28768
11-17,28998
11-18,29311
11-19,29654
11-20,30017
11-21,30403
11-22,30733
11-23,31004
11-24,31353
11-25,31735
11-26,32318
11-27,32887
11-28,33375
11-29,33824
11-30,34201
12-01,34652
12-02,35163
12-03,35703
12-04,36332
12-05,36915
12-06,37546
12-07,38161
12-08,38755
12-09,39432
12-10,40098
12-11,40786
12-12,41736
12-13,42766
12-14,43484
12-15,44364
12-16,45442
12-17,46453
12-18,47515
12-19,48570
12-20,49665
12-21,50591
